,Title,Links,Detail,Price,Ratings
39,Home in Kaneohe,https://www.airbnb.com/rooms/23049973?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,7 beds,"$2,409 per night, originally $3,075",4.76 (34)
40,Apartment in Honolulu,https://www.airbnb.com/rooms/655712611111276165?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ba08b3d6-a415-4ac6-aa13-991d74bacb74,2 beds,$278 per night,New
41,Hotel room in Honolulu,https://www.airbnb.com/rooms/53701747?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$593 per night,New
42,Resort in Honolulu,https://www.airbnb.com/rooms/686952839418568674?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 king bed,$539 per night,New
43,Condo in Honolulu,https://www.airbnb.com/rooms/38670556?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 queen bed,"$240 per night, originally $277",4.67 (21)
44,Condo in Honolulu,https://www.airbnb.com/rooms/44358793?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,3 beds,"$239 per night, originally $262",New
45,Apartment in Honolulu,https://www.airbnb.com/rooms/655698542659597506?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$286 per night,New
46,Apartment in Honolulu,https://www.airbnb.com/rooms/563639984036993608?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 king bed,$282 per night,New
47,Apartment in Honolulu,https://www.airbnb.com/rooms/618988370724222403?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$391 per night,New
48,Condo in Honolulu,https://www.airbnb.com/rooms/30740304?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$342 per night,3.4 (5)
49,Home in Haleiwa,https://www.airbnb.com/rooms/15643814?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,5 beds,$670 per night,4.79 (43)
50,Private room in Waianae,https://www.airbnb.com/rooms/48000042?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 bed,$225 per night,4.5 (6)
51,Apartment in Honolulu,https://www.airbnb.com/rooms/659406111147457555?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 bed,$291 per night,New
52,Yurt in Honolulu,https://www.airbnb.com/rooms/40245151?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,3 beds,$172 per night,5.0 (10)
53,Home in Waianae,https://www.airbnb.com/rooms/49589802?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,5 beds,$677 per night,4.91 (11)
54,Apartment in Honolulu,https://www.airbnb.com/rooms/596281415767401561?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$352 per night,New
55,Condo in Honolulu,https://www.airbnb.com/rooms/53591135?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,$350 per night,New
56,Private room in Honolulu,https://www.airbnb.com/rooms/36967870?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 double bed,$92 per night,4.75 (8)
57,Condo in Honolulu,https://www.airbnb.com/rooms/47440141?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 bed,$270 per night,New
58,Condo in Honolulu,https://www.airbnb.com/rooms/32884958?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 bed,$613 per night,New
59,Apartment in Honolulu,https://www.airbnb.com/rooms/675981966357783736?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,1 bed,$429 per night,New
60,Resort in Honolulu,https://www.airbnb.com/rooms/632346260646468485?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=2916d02f-288a-4271-8241-64411ea6f930,2 beds,"$549 per night, originally $669",New
61,Apartment in Honolulu,https://www.airbnb.com/rooms/560832927057080473?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$263 per night,New
62,Apartment in Honolulu,https://www.airbnb.com/rooms/607924022831050540?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$378 per night,New
63,Villa in Waimanalo,https://www.airbnb.com/rooms/574990931753945642?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,8 beds,"$2,522 per night",New
64,Condo in Honolulu,https://www.airbnb.com/rooms/42586236?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 queen bed,"$240 per night, originally $277",New
65,Apartment in Honolulu,https://www.airbnb.com/rooms/655710501700878720?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$303 per night,New
66,Private room in Honolulu,https://www.airbnb.com/rooms/34622213?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 double bed,"$120 per night, originally $131",4.87 (15)
67,Private room in Honolulu,https://www.airbnb.com/rooms/34621319?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$110 per night,4.78 (9)
68,Condo in Honolulu,https://www.airbnb.com/rooms/40894028?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$399 per night,New
69,Condo in Honolulu,https://www.airbnb.com/rooms/17444202?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,4 beds,$584 per night,3.4 (7)
70,Home in Honolulu,https://www.airbnb.com/rooms/50018259?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,,"$4,007 per night",New
71,Condo in Honolulu,https://www.airbnb.com/rooms/52027585?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$384 per night,New
72,Resort in Honolulu,https://www.airbnb.com/rooms/48568589?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 double beds,$311 per night,New
73,Apartment in Kapolei,https://www.airbnb.com/rooms/684187656219238791?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,4 beds,"$950 per night, originally $1,176",New
74,Apartment in Honolulu,https://www.airbnb.com/rooms/675197328920471828?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 bed,$269 per night,New
75,Resort in Honolulu,https://www.airbnb.com/rooms/54007038?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,2 beds,$742 per night,New
76,Resort in Honolulu,https://www.airbnb.com/rooms/49712543?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 king bed,$656 per night,New
77,Home in Honolulu,https://www.airbnb.com/rooms/22370885?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,17 beds,"$1,202 per night",4.67 (6)
78,Apartment in Honolulu,https://www.airbnb.com/rooms/675976399090659298?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 bed,$388 per night,New
79,Home in Waianae,https://www.airbnb.com/rooms/32215944?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,3 queen beds,$684 per night,4.81 (30)
80,Apartment in Honolulu,https://www.airbnb.com/rooms/658563901634245454?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8fe47e19-d1a8-433f-a5d7-0c200050d246,1 bed,$263 per night,New
81,Apartment in Honolulu,https://www.airbnb.com/rooms/666152865061721692?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,1 bed,$286 per night,New
82,Home in Haleiwa,https://www.airbnb.com/rooms/39976218?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,5 beds,$753 per night,4.8 (5)
83,Apartment in Honolulu,https://www.airbnb.com/rooms/607913161345715148?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,3 beds,$577 per night,New
84,Apartment in Kapolei,https://www.airbnb.com/rooms/681189493735531202?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,4 beds,"$1,050 per night, originally $1,209",New
85,Home in Haleiwa,https://www.airbnb.com/rooms/43364454?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,4 beds,$689 per night,New
86,Hotel room in Honolulu,https://www.airbnb.com/rooms/32884933?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,1 bed,$436 per night,New
87,Home in Honolulu,https://www.airbnb.com/rooms/615355497316812169?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,10 beds,"$3,431 per night",New
88,Resort in Honolulu,https://www.airbnb.com/rooms/39900491?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,1 bed,$285 per night,New
89,Home in Haleiwa,https://www.airbnb.com/rooms/18713955?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,5 beds,$799 per night,4.86 (21)
90,Condo in Honolulu,https://www.airbnb.com/rooms/53322076?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,1 king bed,$343 per night,New
91,Apartment in Honolulu,https://www.airbnb.com/rooms/676038006831164997?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,3 beds,$582 per night,New
92,Condo in Honolulu,https://www.airbnb.com/rooms/54066639?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 beds,$445 per night,New
93,Home in Honolulu,https://www.airbnb.com/rooms/17712082?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,5 beds,"$2,458 per night",New
94,Condo in Honolulu,https://www.airbnb.com/rooms/4898203?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 beds,$340 per night,4.9 (10)
95,Condo in Honolulu,https://www.airbnb.com/rooms/37326893?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,5 beds,"$4,021 per night",New
96,Condo in Honolulu,https://www.airbnb.com/rooms/37494722?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 beds,$341 per night,3.5 (4)
97,Condo in Honolulu,https://www.airbnb.com/rooms/54020269?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 beds,$349 per night,New
98,Apartment in Kapolei,https://www.airbnb.com/rooms/684800019772881394?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 beds,"$808 per night, originally $949",New
99,Apartment in Honolulu,https://www.airbnb.com/rooms/9497844?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,2 single beds,$510 per night,4.81 (77)
100,Condo in Honolulu,https://www.airbnb.com/rooms/54020460?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=ddaaa800-520c-484c-b284-6d6cb12bcfb9,1 bed,$342 per night,New
101,Apartment in Honolulu,https://www.airbnb.com/rooms/675194847160993533?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,$285 per night,New
102,Home in Honolulu,https://www.airbnb.com/rooms/54037165?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,5 beds,"$2,404 per night",New
103,Resort in Honolulu,https://www.airbnb.com/rooms/649963631022450923?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 king bed,$656 per night,New
104,Apartment in Honolulu,https://www.airbnb.com/rooms/675980265444272037?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,$400 per night,New
105,Resort in Honolulu,https://www.airbnb.com/rooms/42543841?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,$782 per night,New
106,Camper/RV in Laie,https://www.airbnb.com/rooms/39370436?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,$172 per night,3.75 (4)
107,Private room in Haleiwa,https://www.airbnb.com/rooms/21532200?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,"$275 per night, originally $335",4.69 (13)
108,Home in Honolulu,https://www.airbnb.com/rooms/54384972?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,4 king beds,"$10,499 per night",New
109,Camper/RV in Haleiwa,https://www.airbnb.com/rooms/49016337?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 double beds,$182 per night,4.67 (12)
110,Apartment in Honolulu,https://www.airbnb.com/rooms/607908668815425290?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$378 per night,New
111,Apartment in Honolulu,https://www.airbnb.com/rooms/642875012010724699?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$319 per night,New
112,Condo in Honolulu,https://www.airbnb.com/rooms/1346576?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$456 per night,4.4 (22)
113,Home in Honolulu,https://www.airbnb.com/rooms/564604872994964135?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,4 beds,"$2,731 per night",New
114,Apartment in Honolulu,https://www.airbnb.com/rooms/675199983225159313?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,1 bed,$292 per night,New
115,Hotel room in Honolulu,https://www.airbnb.com/rooms/54018658?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$575 per night,New
116,Condo in Honolulu,https://www.airbnb.com/rooms/4933298?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$331 per night,5.0 (9)
117,Resort in Honolulu,https://www.airbnb.com/rooms/53981630?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$831 per night,New
118,Camper/RV in Laie,https://www.airbnb.com/rooms/53121527?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$189 per night,New
119,Home in Waianae,https://www.airbnb.com/rooms/49234591?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,6 beds,$564 per night,New
